SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
72.019,0.00041458,64,67.667,1619400.0,25.057,54.347,1007700.0,40.953,33.333
72.908,0.00041458,64,67.667,1619400.0,43.296,54.347,1007700.0,35.497,44.444
72.488,0.00041458,64,67.667,1619400.0,48.447,54.347,1007700.0,68.127,55.556
71.198,0.00041458,64,67.667,1619400.0,90.067,54.347,1007700.0,94.457,77.778
72.303,0.00041458,64,67.667,1619400.0,103.29,54.347,1007700.0,79.654,88.889
73.625,0.00041458,64,67.667,1619400.0,88.543,54.347,1007700.0,112.26,100.0
72.665,0.00041458,64,67.667,1624000.0,0.0,54.347,1456600.0,0.0,0.0
71.1,0.00041458,64,67.667,1624000.0,19.873,54.347,1456600.0,26.594,22.222
72.955,0.00041458,64,67.667,1624000.0,43.296,54.347,1456600.0,35.497,44.444
72.83,0.00041458,64,67.667,1624000.0,48.447,54.347,1456600.0,68.127,55.556
73.984,0.00041458,64,67.667,1624000.0,55.34,54.347,1456600.0,51.185,66.667
74.09,0.00041458,64,67.667,1624000.0,90.067,54.347,1456600.0,94.457,77.778
73.49,0.00041458,64,67.667,1624000.0,103.29,54.347,1456600.0,79.654,88.889
73.44,0.00041458,64,67.667,1624000.0,88.543,54.347,1456600.0,112.26,100.0
73.413,0.00041458,64,67.667,2783100.0,0.0,54.347,1862600.0,0.0,0.0
74.138,0.00041458,64,67.667,2783100.0,9.1732,54.347,1862600.0,11.588,11.111
72.084,0.00041458,64,67.667,2783100.0,19.873,54.347,1862600.0,26.594,22.222
72.185,0.00041458,64,67.667,2783100.0,25.057,54.347,1862600.0,40.953,33.333
74.263,0.00041458,64,67.667,2783100.0,43.296,54.347,1862600.0,35.497,44.444
73.147,0.00041458,64,67.667,2783100.0,48.447,54.347,1862600.0,68.127,55.556
75.034,0.00041458,64,67.667,2783100.0,55.34,54.347,1862600.0,51.185,66.667
75.113,0.00041458,64,67.667,2783100.0,90.067,54.347,1862600.0,94.457,77.778
73.496,0.00041458,64,67.667,2783100.0,103.29,54.347,1862600.0,79.654,88.889
73.287,0.00041458,64,67.667,3779100.0,0.0,54.347,3579300.0,0.0,0.0
72.227,0.00041458,64,67.667,3779100.0,9.1732,54.347,3579300.0,11.588,11.111
73.525,0.00041458,64,67.667,3779100.0,19.873,54.347,3579300.0,26.594,22.222
71.908,0.00041458,64,67.667,3779100.0,25.057,54.347,3579300.0,40.953,33.333
72.944,0.00041458,64,67.667,3779100.0,48.447,54.347,3579300.0,68.127,55.556
72.988,0.00041458,64,67.667,3779100.0,55.34,54.347,3579300.0,51.185,66.667
73.628,0.00041458,64,67.667,3779100.0,90.067,54.347,3579300.0,94.457,77.778
73.823,0.00041458,64,67.667,3779100.0,103.29,54.347,3579300.0,79.654,88.889
74.08,0.00041458,64,67.667,3779100.0,88.543,54.347,3579300.0,112.26,100.0
71.276,0.0006332,64,67.667,3285100.0,0.0,54.347,4552600.0,0.0,0.0
71.199,0.0006332,64,67.667,3285100.0,25.057,54.347,4552600.0,40.953,33.333
72.325,0.0006332,64,67.667,3285100.0,43.296,54.347,4552600.0,35.497,44.444
72.353,0.0006332,64,67.667,3285100.0,48.447,54.347,4552600.0,68.127,55.556
73.529,0.0006332,64,67.667,3285100.0,55.34,54.347,4552600.0,51.185,66.667
73.013,0.0006332,64,67.667,3285100.0,90.067,54.347,4552600.0,94.457,77.778
72.389,0.0006332,64,67.667,3285100.0,103.29,54.347,4552600.0,79.654,88.889
73.795,0.0006332,64,67.667,3285100.0,88.543,54.347,4552600.0,112.26,100.0
